2	4	8	1
3	4	8	1
2	4	8	1
8	4	8	1
8	4	8	1
8	4	8	1
8	4	8	1
8	4	8	1
8	4	8	1
8	4	8	1
2	6	1	1
2	6	1	7
2	6	1	6
2	6	1	7
2	6	1	1
2	6	1	7
2	6	1	6
2	6	1	6
2	6	1	1
2	6	1	6
7	7	2	8
3	7	2	8
8	7	2	8
1	7	7	1
1	7	7	1
7	7	7	8
7	7	7	8
7	7	7	8
4	7	2	8
4	7	2	8
7	1	7	7
7	1	2	1
1	1	7	7
7	1	2	1
4	1	2	1
7	1	7	7
7	1	2	1
7	1	7	7
7	1	2	1
4	1	2	1
1	3	6	5
1	3	6	8
1	3	6	8
1	3	6	5
3	3	6	5
3	3	6	5
1	3	6	5
3	3	6	8
3	3	6	8
3	3	6	7
5	2	5	3
5	2	5	3
5	2	5	3
5	2	5	3
5	2	5	3
5	2	5	3
5	2	5	3
5	2	5	3
5	2	5	1
5	2	5	3
4	8	4	6
4	8	8	1
4	8	4	4
4	8	4	6
4	8	4	6
4	8	4	4
4	8	4	4
4	8	4	4
4	8	4	4
4	8	8	1
6	5	8	8
6	5	8	8
6	5	3	2
6	5	8	8
6	5	3	2
6	5	3	2
6	5	8	8
6	5	3	2
6	5	8	2
6	5	3	2
